"Key"	"en"	"es"	"cs"	"fi"	"fr"	"uk"	"sv"	"no"	"zh"	"tr"	"ru"	"ka"	"ro"	"pt"	"pl"	"nl"	"de"	"ko"	"ja"	"it"	"id"	"hi"	"bn"	"vi"	"ar"
"UnusedPackages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"未使用的插件"	"Unused Packages"	"Неиспользуемые пакеты"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Ungenutzte Pakete"	"Unused Packages"	"未使用のパッケージ"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"	"Unused Packages"
"CloseCitiesToSub"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"你需要关闭 Cities: Skylines 才能订阅/取消订阅插件"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"Вам нужно закрыть Cities: Skylines для того чтобы подписаться или отписаться от пакетов"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"Cities: Skylines muss geschlossen werden, um Pakete zu abonnieren oder abzubestellen"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"パッケージのサブスク操作を行うには、Cities: Skylinesを終了する必要があります。"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"	"You need to close Cities: Skylines to subscribe or unsubscribe from packages"
"ShowingFilteredItems"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"当前显示 {0} 项，共 {1} 项"	"Showing {0} out of {1} total items"	"Показано {0} из {1} элементов"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Zeige {0} von insgesamt {1} Elementen"	"Showing {0} out of {1} total items"	"合計 {1} 個のアイテムから {0} 個を表示中"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"	"Showing {0} out of {1} total items"
"ShowingMods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"当前显示{0}个模组"	"Showing {0} mods"	"Показано {0} модов"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Zeige {0} Mods"	"Showing {0} mods"	"表示中: {0} 個のMOD"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"	"Showing {0} mods"
"ShowingAssets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"当前显示{0}个资产"	"Showing {0} assets"	"Показано {0} ассетов"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Zeige {0} Gegenstände"	"Showing {0} assets"	"表示中: {0} 個のアセット"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"	"Showing {0} assets"
"ShowingPackages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"当前显示{0}个插件"	"Showing {0} packages"	"Показано {0} пакетов"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Zeige {0} Pakete"	"Showing {0} packages"	"表示中: {0} 個のパッケージ"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"	"Showing {0} packages"
"ShowingProfiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"当前显示{0}个配置文件"	"Showing {0} profiles"	"Показано {0} профилей"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Zeige {0} Profile"	"Showing {0} profiles"	"表示中: {0} 個のプロファイル"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"	"Showing {0} profiles"
"Clear"	"Clear"	"Clear"	"Clear"	"Clear"	"Clear"	"Clear"	"Clear"	"Clear"	"清除"	"Clear"	"Очистить"	"Clear"	"Clear"	"Clear"	"Clear"	"Clear"	"Leeren"	"Clear"	"クリア"	"Clear"	"Clear"	"Clear"	"Clear"	"Clear"	"Clear"
"Before"	"Before"	"Before"	"Before"	"Before"	"Before"	"Before"	"Before"	"Before"	"早于"	"Before"	"До"	"Before"	"Before"	"Before"	"Before"	"Before"	"Bevor"	"Before"	"以前"	"Before"	"Before"	"Before"	"Before"	"Before"	"Before"
"After"	"After"	"After"	"After"	"After"	"After"	"After"	"After"	"After"	"晚于"	"After"	"После"	"After"	"After"	"After"	"After"	"After"	"Nach"	"After"	"以後"	"After"	"After"	"After"	"After"	"After"	"After"
"Between"	"Between"	"Between"	"Between"	"Between"	"Between"	"Between"	"Between"	"Between"	"介于"	"Between"	"Между"	"Between"	"Between"	"Between"	"Between"	"Between"	"Zwischen"	"Between"	"期間"	"Between"	"Between"	"Between"	"Between"	"Between"	"Between"
"Today"	"Today"	"Today"	"Today"	"Today"	"Today"	"Today"	"Today"	"Today"	"今天"	"Today"	"Сегодня"	"Today"	"Today"	"Today"	"Today"	"Today"	"Heute"	"Today"	"今日"	"Today"	"Today"	"Today"	"Today"	"Today"	"Today"
"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"昨天"	"Yesterday"	"Вчера"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"Gestern"	"Yesterday"	"昨日"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"	"Yesterday"
"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"本月的第一天"	"Start of Month"	"Начало месяца"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"Anfang des Monats"	"Start of Month"	"開始月"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"	"Start of Month"
"End of Month"	"End of Month"	"End of Month"	"End of Month"	"End of Month"	"End of Month"	"End of Month"	"End of Month"	"End of Month"	"本月的最后一天"	"End of Month"	"На конец месяца"	"End of Month"	"End of Month"	"End of Month"	"End of Month"	"End of Month"	"Ende des Monats"	"End of Month"	"終了月"	"End of Month"	"End of Month"	"End of Month"	"End of Month"	"End of Month"	"End of Month"
"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"今年的第一天"	"Start of Year"	"Начало года"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"Anfang des Jahres"	"Start of Year"	"開始年"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"	"Start of Year"
"End of Year"	"End of Year"	"End of Year"	"End of Year"	"End of Year"	"End of Year"	"End of Year"	"End of Year"	"End of Year"	"今年的最后一天"	"End of Year"	"Конец года"	"End of Year"	"End of Year"	"End of Year"	"End of Year"	"End of Year"	"Ende des Jahres"	"End of Year"	"終了年"	"End of Year"	"End of Year"	"End of Year"	"End of Year"	"End of Year"	"End of Year"
"Mon"	"Mon"	"Mon"	"Mon"	"Mon"	"Mon"	"Mon"	"Mon"	"Mon"	"一"	"Mon"	"Пн"	"Mon"	"Mon"	"Mon"	"Mon"	"Mon"	"Mon"	"Mon"	"月曜"	"Mon"	"Mon"	"Mon"	"Mon"	"Mon"	"Mon"
"Tue"	"Tue"	"Tue"	"Tue"	"Tue"	"Tue"	"Tue"	"Tue"	"Tue"	"二"	"Tue"	"Вт"	"Tue"	"Tue"	"Tue"	"Tue"	"Tue"	"Tue"	"Tue"	"火曜"	"Tue"	"Tue"	"Tue"	"Tue"	"Tue"	"Tue"
"Wed"	"Wed"	"Wed"	"Wed"	"Wed"	"Wed"	"Wed"	"Wed"	"Wed"	"三"	"Wed"	"Ср"	"Wed"	"Wed"	"Wed"	"Wed"	"Wed"	"Wed"	"Wed"	"水曜"	"Wed"	"Wed"	"Wed"	"Wed"	"Wed"	"Wed"
"Thu"	"Thu"	"Thu"	"Thu"	"Thu"	"Thu"	"Thu"	"Thu"	"Thu"	"四"	"Thu"	"Чт"	"Thu"	"Thu"	"Thu"	"Thu"	"Thu"	"Thu"	"Thu"	"木曜"	"Thu"	"Thu"	"Thu"	"Thu"	"Thu"	"Thu"
"Fri"	"Fri"	"Fri"	"Fri"	"Fri"	"Fri"	"Fri"	"Fri"	"Fri"	"五"	"Fri"	"Пт"	"Fri"	"Fri"	"Fri"	"Fri"	"Fri"	"Fri"	"Fri"	"金曜"	"Fri"	"Fri"	"Fri"	"Fri"	"Fri"	"Fri"
"Sat"	"Sat"	"Sat"	"Sat"	"Sat"	"Sat"	"Sat"	"Sat"	"Sat"	"六"	"Sat"	"Сб"	"Sat"	"Sat"	"Sat"	"Sat"	"Sat"	"Sat"	"Sat"	"土曜"	"Sat"	"Sat"	"Sat"	"Sat"	"Sat"	"Sat"
"Sun"	"Sun"	"Sun"	"Sun"	"Sun"	"Sun"	"Sun"	"Sun"	"Sun"	"日"	"Sun"	"Вс"	"Sun"	"Sun"	"Sun"	"Sun"	"Sun"	"Sun"	"Sun"	"日曜"	"Sun"	"Sun"	"Sun"	"Sun"	"Sun"	"Sun"
"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"任意日期"	"Any Date"	"Любая дата"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"全ての日付"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"	"Any Date"
"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"明天"	"Tomorrow"	"Завтра"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"明日"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"	"Tomorrow"
"DropNewProfile"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"将配置文件拖放到此处，即可导入配置"	"Drop a profile file here to import it"	"Перетащите файл профайла сюда для импорта"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"ここにプロファイルのファイルをD&Dしてインポート可能です。"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"	"Drop a profile file here to import it"
"UserInterface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"用户界面"	"User Interface"	"Интерфейс"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"ユーザーインターフェイス"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"	"User Interface"
"ThemeUIScale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"界面主题与UI缩放"	"Theme & UI Scale"	"Тема и масштаб интерфейса"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"テーマ & UIスケール"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"	"Theme & UI Scale"
"SearchProfiles"	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"搜索您的配置文件…"	"Search through your Profiles.."	"Поиск среди профайлов..."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"プロファイルを検索..."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."	"Search through your Profiles.."
"AdvancedSettings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"高级设置"	"Advanced Settings"	"Расширенные настройки"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"高度な設定"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"	"Advanced Settings"
"HelpTranslate"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"帮助改进翻译"	"Help improve translations"	"Помогите улучшить перевод"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"翻訳の改善に協力"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"	"Help improve translations"
"HelpReset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"帮助与重置"	"Help & Reset"	"Помощь и Сброс"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"ヘルプ & リセット"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"	"Help & Reset"
"ShowFolderSettings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"显示文件夹设置"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"フォルダの設定を表示"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"	"Show folder settings"
"JoinDiscord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"在 Discord 上获取帮助"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Discordでサポートを受ける"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"	"Get help on Discord"
"OpenGuide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"打开指南"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"ガイドを開く"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"	"Open the guide"
"ResetFolderButton"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"重置所有文件夹设置（在此之后需要打开游戏）"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"全てのフォルダ設定をリセット (その後、ゲームを開く必要があります)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"	"Reset all folder settings (requires opening the game afterwards)"
"LinkModAssets_Tip"	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"有些模组含有的资产，是模组正常工作所需的资产。 启用此选项，可以将模组与其所需的资产建立链接，并在资产页面隐藏这些资产，以避免意外地将这些资产排除。"	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."	"Some mods include assets that are required for them to function properly. Enabling this option links those assets to the mod itself and hides those assets from the Assets page so you don't exclude them by mistake."
"ShowDatesRelatively_Tip"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"将内容列表中的日期显示格式更改为相对时间，例如：昨天下午 2:10"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"	"Changes the format of dates that are displayed in content lists to relative time. For example; Yesterday at 2:10 pm"
"LargeItemOnHover_Tip"	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"启用此选项后，当鼠标指针悬停在列表的项目上方时，项目的显示大小将会增大一倍"	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."	"Enabling this makes content lists' rows double in size when you hover over them."
"DisableNewModsByDefault_Tip"	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"在 Load Order Tool 2 打开时，如果订阅或添加模组，将根据此选项的设置自动包含或排除该模组。"	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."	"When you subscribe or add a mod, the tool will automatically exclude or include it based on this setting when the tool is launched."
